time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.94165500133e-07,3.06573833267e-07,10.0018404916,0.000301907621658,0.000576585223228,0.0,-5.55274122666e-05,2.62297520944e-05,0.0613478123812,0.0135628900361,0.0240211027722,0.0,423.5787904428576,425.6390873534369,423.7266440839498,424.8907301727172
0.12000000000000001,-2.4011909681e-05,1.25520860531e-05,10.011674439,0.000884251717165,0.0018563014663,0.0,-0.000882414681327,0.000465667569005,0.266424108836,0.000588522930263,0.0153120843616,0.0,469.6550338912671,468.9791676355898,469.32553910991305,468.3175167261946
0.18,-0.000125490041655,6.23556448886e-05,10.0338883212,0.00135020590187,0.00289832419898,0.0,-0.00261602343228,0.00122736375294,0.473974757773,0.0192263620467,0.0211889300635,0.0,469.52154077511926,469.977094131203,469.3071531174987,470.7512402715263
0.23999999999999996,-0.000352706512621,0.000171241943983,10.0670869098,0.00203112340613,0.00417297513514,0.0,-0.00509852539979,0.0025132462006,0.632569311424,-0.0131335838191,0.0213544479879,0.0,455.8322011752593,455.845412303621,456.19965495671346,453.6087683160413
0.3,-0.000749250999766,0.000361943935258,10.1079542626,0.00204749687503,0.00523603615613,0.0,-0.00823967640837,0.00381273984688,0.729617856324,0.0186620341545,0.00921702456227,0.0,437.08391740212784,436.0712939134824,434.8821630191157,437.53697077641243
0.36000000000000004,-0.00137306070378,0.00064542402653,10.1582610736,0.00270214386147,0.00603964824975,0.0,-0.0126354471774,0.00575208078732,0.94712016622,-0.0128863430823,0.0206559901353,0.0,472.5325682373966,473.41331696918934,474.8171504240702,472.39092603510517
0.4200000000000001,-0.00224588727044,0.00103731889873,10.2157377685,0.00167414604126,0.00701823499581,0.0,-0.016560588052,0.00723119670292,0.968750941939,-0.0273761442114,0.00577168960633,0.0,412.9887103837525,411.67388245892084,412.7418456032772,411.4612316655683
0.48000000000000015,-0.00340618708166,0.00150433125531,10.2797494898,0.000632485925533,0.00709052380591,0.0,-0.0221415578766,0.00818564201857,1.16479387108,-0.00249208818597,-0.0100035046605,0.0,468.4797094195537,467.2516387598958,465.844440763026,467.78598435125355
0.5400000000000001,-0.00491439578218,0.00201096344642,10.3575914488,0.00048849216623,0.00708284262485,0.0,-0.028097980655,0.00868337034223,1.42964550482,-0.00221613194962,0.0145854652173,0.0,486.7406669475632,488.5772082472677,487.8268238425415,487.8474774345675
0.6000000000000002,-0.00678236381002,0.00254349362543,10.4508085674,0.000135402981281,0.00816854939583,0.0,-0.0342876333181,0.0090389419393,1.6772612056,-0.014474837915,0.024323733146,0.0,483.5788939989206,484.3117371052376,483.38829599170333,482.46381592846393
0.6600000000000003,-0.00899388069886,0.0030855338972,10.5519617805,6.28264809704,0.0103452698222,0.0,-0.039598812906,0.00896052714694,1.6944854967,-0.00537163439425,0.0532241334644,0.0,410.5792514948891,413.1358170173177,413.04731431924915,413.8494000798912
0.7200000000000003,-0.0116253499788,0.00360910858002,10.6593457554,6.28212764078,0.0133578580019,0.0,-0.0484724382299,0.00844468659354,1.88468214698,-0.0162693210314,0.0433750686612,0.0,468.01163376462273,467.2459225696631,467.5878966011622,466.7383391246316
0.7800000000000004,-0.0148475036125,0.00408813514533,10.7774324756,6.28149287892,0.0160718403146,0.0,-0.0592263256417,0.00743527184931,2.05125338419,-0.00111362708894,0.0487106477745,0.0,460.83176687678673,461.2544021108901,460.2468658775849,461.44485451466016
0.8400000000000004,-0.018862740437,0.00448722530111,10.9106362458,6.28167767323,0.0186202702347,0.0,-0.0749852856188,0.00587841319778,2.38822488986,0.0103688359214,0.0255241505233,0.0,510.52402508494873,508.86773267569066,510.6482612076467,511.4665988715573
0.9000000000000005,-0.0237791337234,0.00480910926921,11.0583410743,6.28215519864,0.0197724065214,0.0,-0.0890398263395,0.00491191842142,2.53495233465,0.00264077892026,0.00191428924594,0.0,457.82827240813793,455.9459264084557,457.24377575400695,456.62760483335455
0.9600000000000005,-0.0295876581569,0.00508069294588,11.2163261838,6.28265816236,0.0198140241077,0.0,-0.10457822558,0.00418197558948,2.7307706233,0.0179211640969,-0.00186708159936,0.0,471.6749182737663,471.38279197962675,472.4638424874624,473.6403549261468
1.0200000000000005,-0.0362399604109,0.0053255362371,11.3815860941,0.000749257754999,0.0196297190321,0.0,-0.117149355312,0.00409089404393,2.77777961907,0.0272517041771,-0.00559719398187,0.0,427.24378809885627,426.9257012612549,426.7579198973741,427.5536245727859
1.0800000000000005,-0.0436982053113,0.00559393950997,11.5525071726,0.0021684791431,0.019554125669,0.0,-0.131431277379,0.00502190885667,2.91923890192,0.0152602737816,0.00624638469884,0.0,456.35312818265237,457.2975437326001,457.9446415225502,456.98985034851864
1.1400000000000006,-0.052006388194,0.00594542972838,11.7315034931,0.00291990041266,0.0200469288943,0.0,-0.145548238465,0.00678276537835,3.04697157413,0.00639577891103,0.0118827364036,0.0,452.81676599183265,453.26983940263847,454.6735434505822,453.9626765365353
1.2000000000000006,-0.0611696093382,0.00641600789401,11.9179508682,0.00322110953589,0.0211202338137,0.0,-0.159982178405,0.00893831982184,3.16761142543,0.00211612778852,0.0277903728585,0.0,451.6803912174418,452.9614318751457,452.25010083829983,451.9051701494348
1.2600000000000007,-0.0711382044107,0.00700849699854,12.1075709372,0.00368718285778,0.0230298540031,0.0,-0.172458419458,0.0108382628488,3.1530930999,0.0171805208503,0.0388749418261,0.0,408.8944262037344,409.8812070315124,408.21680864406136,409.5588212180166
